Latitude,Longitude,Stop Name,Stop Status
40.696295,-73.983194,GOLD ST/TILLARY ST,at stop
40.679092,-73.995623,SMITH ST/2 ST,approaching
40.698,-73.975228,FLUSHING AV/CUMBERLAND ST,approaching
40.701715,-73.937704,FLUSHING AV/HUMBOLDT ST,< 1 stop away
